word,weight
soare,31828
aeros,31828
arose,31828
serai,30997
reais,30997
seria,30997
raise,30997
aesir,30997
arise,30997
alose,30894
aloes,30894
toeas,30821
stoae,30821
neosa,30592
aeons,30592
rales,30396
lares,30396
seral,30396
earls,30396
laers,30396
arles,30396
reals,30396
lears,30396
laser,30396
tares,30323
earst,30323
stare,30323
tears,30323
reast,30323
sater,30323
rates,30323
arets,30323
taser,30323
strae,30323
teras,30323
tarse,30323
resat,30323
aster,30323
stear,30323
ranse,30094
earns,30094
reans,30094
snare,30094
saner,30094
nears,30094
ranes,30094
nares,30094
aisle,30063
isnae,29761
anise,29761
saine,29761
psoae,29550
paseo,29550
urase,29543
aures,29543
ureas,29543
ursae,29543
leats,29389
tesla,29389
teals,29389
stale,29389
slate,29389
stela,29389
setal,29389
taels,29389
salet,29389
steal,29389
tales,29389
least,29389
eards,29351
rased,29351
sared,29351
reads,29351
arsed,29351
dears,29351
dares,29351
slane,29160
neals,29160
elans,29160
leans,29160
lanes,29160
stean,29087
etnas,29087
stane,29087
neats,29087
nates,29087
netas,29087
antes,29087
osier,29081
spaer,29052
reaps,29052
apres,29052
pares,29052
spare,29052
asper,29052
rapes,29052
pears,29052
presa,29052
prase,29052
apers,29052
repas,29052
parse,29052
spear,29052
maser,29030
reams,29030
mares,29030
resam,29030
marse,29030
rames,29030
ramse,29030
smear,29030
aides,29018
ideas,29018
aside,29018
eyras,29016
years,29016
arsey,29016
sayer,29016
ayres,29016
resay,29016
acers,28862
sacre,28862
races,28862
cares,28862
acres,28862
scare,28862
serac,28862
carse,28862
escar,28862
caser,28862
scrae,28862
ioras,28754
paise,28719
sepia,28719
aspie,28719
amies,28697
maise,28697
mesia,28697
shear,28609
rheas,28609
share,28609
salue,28609
hares,28609
hears,28609
saute,28536
useta,28536
saice,28529
acies,28529
sager,28480
segar,28480
relos,28480
orles,28480
gares,28480
roles,28480
gears,28480
loser,28480
soler,28480
resol,28480
lores,28480
eorls,28480
agers,28480
sorel,28480
sarge,28480
rages,28480
saber,28465
bares,28465
braes,28465
baser,28465
sabre,28465
bears,28465
abers,28465
slade,28417
lased,28417
dales,28417
lades,28417
leads,28417
deals,28417
rotes,28407
store,28407
osetr,28407
torse,28407
estro,28407
roset,28407
resto,28407
tores,28407
kesar,28369
asker,28369
rakes,28369
reaks,28369
eskar,28369
saker,28369
skear,28369
stade,28344
sated,28344
tsade,28344
tased,28344
teads,28344
stead,28344
dates,28344
usnea,28307
aunes,28307
realo,28289
oater,28216
orate,28216
roate,28216
oners,28178
senor,28178
noser,28178
seron,28178
rones,28178
renos,28178
snore,28178
orals,28153
rosal,28153
soral,28153
solar,28153
aegis,28147
solei,28147
abies,28132
beisa,28132
leaps,28118
speal,28118
pelas,28118
salep,28118
peals,28118
pales,28118
sepal,28118
pleas,28118
lapse,28118
spale,28118
sedan,28115
danse,28115
snead,28115
saned,28115
deans,28115
males,28096
mesal,28096
melas,28096
lames,28096
meals,28096
almes,28096
leams,28096
samel,28096
lyase,28082
yales,28082
sorta,28080
taros,28080
rotas,28080
ratos,28080
roast,28080
toras,28080
toise,28074
tepas,28045
tapes,28045
spate,28045
paste,28045
septa,28045
speat,28045
pesta,28045
pates,28045
peats,28045
kaies,28036
metas,28023
meats,28023
teams,28023
steam,28023
mates,28023
satem,28023
tames,28023
yates,28009
yeast,28009
scale,27928
alecs,27928
laces,27928
claes,27928
alces,27928
oaves,27915
soave,27915
safer,27856
farse,27856
fears,27856
fares,27856
cates,27855
cesta,27855
taces,27855
sceat,27855
caste,27855
roans,27851
sonar,27851
arson,27851
orans,27851
eosin,27845
noise,27845
alios,27820
napes,27816
neaps,27816
spean,27816
sneap,27816
aspen,27816
spane,27816
peans,27816
panes,27816
manes,27794
amens,27794
mensa,27794
nemas,27794
manse,27794
means,27794
samen,27794
names,27794
sayne,27780
yeans,27780
stoai,27747
ostia,27747
iotas,27747
sawer,27743
sewar,27743
swear,27743
wears,27743
sware,27743
resaw,27743
wares,27743
hales,27675
halse,27675
shale,27675
sheal,27675
selah,27675
heals,27675
leash,27675
naieo,27654
leirs,27649
siler,27649
slier,27649
liers,27649
riels,27649
riles,27649
rouse,27627
roues,27627
euros,27627
canes,27626
scena,27626
acnes,27626
zoeas,27617
heats,27602
heast,27602
haste,27602
haets,27602
ashet,27602
hates,27602
reist,27576
stire,27576
tiers,27576
resit,27576
tires,27576
tries,27576
rites,27576
geals,27546
gales,27546
sable,27531
blaes,27531
bales,27531
beals,27531
ables,27531
baels,27531
blase,27531
naios,27518
noias,27518
geats,27473
lotes,27473
gates,27473
getas,27473
toles,27473
stole,27473
telos,27473
stage,27473
raile,27458
beast,27458
bates,27458
ariel,27458
besat,27458
tabes,27458
betas,27458
baste,27458
abets,27458
beats,27458
oxeas,27440
lakes,27435
rodes,27435
resod,27435
redos,27435
doser,27435
dorse,27435
rosed,27435
dores,27435
slake,27435
sored,27435
leaks,27435
doers,27435
deros,27435
kales,27435
vares,27417
raves,27417
saver,27417
versa,27417
avers,27417
tiare,27385
terai,27385
irate,27385
retia,27385
ashen,27373
hanse,27373
ketas,27362
stake,27362
skate,27362
steak,27362
takes,27362
teaks,27362
resin,27347
risen,27347
rines,27347
serin,27347
reins,27347
siren,27347
rinse,27347
liars,27322
rails,27322
arils,27322
laris,27322
liras,27322
rials,27322
lairs,27322
uraos,27300
olate,27282
pause,27265
sitar,27249
raits,27249
artis,27249
tarsi,27249
tiars,27249
astir,27249
stair,27249
stria,27249
airts,27249
noles,27244
geans,27244
noels,27244
losen,27244
oread,27244
adore,27244
enols,27244
genas,27244
lenos,27244
nages,27244
oared,27244
amuse,27243
basen,27229
nabes,27229
banes,27229
beans,27229
tones,27171
seton,27171
notes,27171
stone,27171
onset,27171
steno,27171
raine,27156
loast,27146
altos,27146
tolas,27146
lotas,27146
lotsa,27146
salto,27146
spore,27136
ropes,27136
pores,27136
prose,27136
poser,27136
repos,27136
snake,27133
skean,27133
kanes,27133
sneak,27133
razes,27119
mores,27114
smore,27114
morse,27114
omers,27114
moers,27114
oases,27114
sorda,27108
dorsa,27108
roads,27108
sarod,27108
eidos,27102
oyers,27100
yores,27100
avise,27084
sauce,27075
cause,27075
spaed,27073
spade,27073
sepad,27073
anole,27053
alone,27053
mased,27051
dames,27051
mesad,27051
meads,27051
yeads,27037
sayed,27037
sarin,27020
naris,27020
ranis,27020
airns,27020
rains,27020
arnis,27020
neato,26980
atone,26980
oaten,26980
ousia,26967
rejas,26958
rajes,26958
score,26946
ceros,26946
cores,26946
corse,26946
pareo,26945
opera,26945
porae,26945
raxes,26942
morae,26923
amore,26923
feals,26922
